nom_station,polluant,valeur,unite,date,x_l93,y_l93,
NICE ARSON,Oxydes d'azote,33.3,,19/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Oxydes d'azote,24.3,,20/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,23.3,,14/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,35.9,,15/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,24.9,,16/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,17.8,,17/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,12.1,,18/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,23.5,,19/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,25,,20/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,30.2,,14/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,17.9,,15/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,14.3,,16/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,15.5,,17/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,13.8,,18/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,13.6,,19/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,18,,20/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,14.5,,14/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,9,,15/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,5.4,,16/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,6.9,,17/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,6.9,,18/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,8.2,,19/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,10.3,,20/10/2019 00:00,1045411.64,6298604.32,
Cheiron,Ozone,70.7,,14/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,76.3,,15/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,69.6,,16/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,69.2,,17/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,63.7,,18/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,73.8,,19/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,64.6,,20/10/2019 00:00,1025739.52,6307562.49,
